,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,75,1.0,63,1,1550.14477415719,961.0,31,31,128,1,17,16,8,8,30,8,15,6,21,24,9.0,174.1076455116272,False,8,6,23,19,437,305.5,0.020594965675057208,0.029459901800327332,19.0,14.166666984558105,12.610722541809082,1.692568750643269,0.5373859586549283,6.711947366220165
1,76,1.0,63,1,1550.14477415719,961.0,31,31,128,439,17,16,8,8,30,8,15,6,21,24,9.0,176.93607258796692,False,8,6,23,19,437,311.5,0.020594965675057208,0.028892455858747994,19.0,14.166666984558105,12.610722541809082,1.692568750643269,0.5441223578104203,6.741807597408084
2,77,1.0,63,1,1550.14477415719,961.0,31,31,128,24,18,16,8,8,30,8,15,6,21,24,9.5,177.52185904979706,False,8,6,23,19,437,311.5,0.021739130434782608,0.030497592295345103,19.0,14.166666984558105,12.610722541809082,1.738949084575512,0.5478941632606837,6.756894819209139
3,78,1.0,63,1,1753.8092278230038,1089.0,33,33,136,29,19,17,9,9,32,10,16,7,22,25,9.5,180.35028612613678,False,9,7,24,19,456,320.0,0.020833333333333332,0.0296875,20.269229888916016,14.807692527770996,12.677831649780273,1.738949084575512,0.46797641612091934,6.592256318847936
4,79,1.0,63,1,1753.8092278230038,1089.0,33,33,136,22,20,16,9,9,32,10,16,7,22,25,10.5,181.1787132024765,False,9,7,24,19,456,323.5,0.023026315789473683,0.03245749613601236,20.269229888916016,14.807692527770996,12.677831649780273,1.828183197857863,0.4592255949333455,6.602382836767951
5,80,1.0,63,1,1753.8092278230038,1089.0,33,33,136,42,20,16,9,9,32,10,16,7,22,25,10.5,184.00714027881622,False,9,7,24,19,456,327.5,0.023026315789473683,0.03206106870229008,20.269229888916016,14.807692527770996,12.677831649780273,1.828183197857863,0.45938079647850333,6.629321246586983
6,81,1.0,63,1,1753.8092278230038,1089.0,33,33,136,50,20,16,9,9,32,10,16,7,22,25,10.5,186.83556735515594,False,9,7,24,19,456,336.0,0.023026315789473683,0.03125,20.214696884155273,16.061960220336914,13.2530517578125,1.828183197857863,0.458022438110526,6.6599090779372
7,82,1.0,63,1,1753.8092278230038,1089.0,33,33,136,131,20,16,9,9,32,10,16,7,22,25,10.5,188.83556735515594,False,9,7,24,19,456,336.0,0.023026315789473683,0.03125,20.214696884155273,16.061960220336914,13.2530517578125,1.828183197857863,0.46399213855780463,6.694835931756069
8,83,1.0,63,1,1753.8092278230038,1089.0,33,33,136,201,20,16,9,9,32,10,17,6,22,25,10.5,191.66399443149567,False,9,6,24,20,480,342.5,0.021875,0.030656934306569343,20.214696884155273,16.061960220336914,13.2530517578125,1.828183197857863,0.4671427168252736,6.7226201501016085
9,84,1.0,63,1,1753.8092278230038,1089.0,33,33,136,11,20,16,9,9,32,10,17,6,22,25,10.5,194.4924215078354,False,9,6,24,20,480,347.5,0.021875,0.030215827338129497,20.214696884155273,16.061960220336914,13.2530517578125,1.828183197857863,0.47071026268166793,6.744398583806734
10,85,1.0,63,1,1753.8092278230038,1089.0,33,33,136,22,20,16,9,9,32,10,17,6,22,25,11.0,195.90663504600525,False,9,6,24,20,480,347.5,0.022916666666666665,0.031654676258992806,20.214696884155273,16.061960220336914,13.2530517578125,1.8712051592547776,0.47537749675005464,6.7679120233614025
11,86,1.0,63,1,1970.0400453174539,1225.0,35,35,144,183,21,17,10,10,34,10,18,7,23,26,11.0,198.73506212234497,False,10,7,25,20,500,356.0,0.022,0.03089887640449438,22.0,16.03125,13.430512428283691,1.8712051592547776,0.46699712772971175,6.775546438684022
12,87,1.0,63,1,2198.8375436933243,1369.0,37,37,152,123,22,18,11,11,35,11,19,8,24,27,11.0,200.73506212234497,False,11,8,25,20,500,360.5,0.022,0.030513176144244106,23.258024215698242,16.69259262084961,13.515454292297363,1.8712051592547776,0.45929467926664763,6.784125398766743
13,88,1.0,63,1,2198.8375436933243,1369.0,37,37,152,309,22,18,11,11,35,11,19,8,24,27,11.0,202.73506212234497,False,11,8,25,20,500,368.5,0.022,0.029850746268656716,23.28078842163086,17.238916397094727,13.7747802734375,1.8712051592547776,0.4637640157422381,6.8066264392684515
14,89,1.0,63,1,2198.8375436933243,1369.0,37,37,152,41,22,18,11,11,35,11,19,8,24,27,11.5,204.14927566051483,False,11,8,25,20,500,368.5,0.023,0.031207598371777476,23.28078842163086,17.238916397094727,13.7747802734375,1.913259964331453,0.46609284607496615,6.817494314154517
