,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,1,0.05,11,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,0.0,0.0
1,2,0.05,11,1,tensor(18.3105),9.0,3,3,16,22,-1,-1,1,0,1,0,1,0,1,1,0.0,2.0,False,1,0,1,2,2,0.0,0.0,-1,1.0,0.5,0.5001000165939331,0.0,0.9999999999999996,2.0
2,3,0.05,11,1,tensor(46.0459),25.0,5,5,24,184,-1,-1,2,1,3,0,3,0,2,2,0.0,4.828427076339722,False,2,0,2,3,6,0.5,0.0,0.0,2.5,1.0,1.1181340217590332,0.0,0.2924812503605784,1.7799500009615423
3,4,0.05,11,1,tensor(46.0459),25.0,5,5,24,11,-1,-1,2,1,3,0,3,0,3,3,0.0,7.656854152679443,False,2,0,2,4,8,2.0,0.0,0.0,3.0,1.5,1.500100016593933,0.0,0.5000000000000006,2.52832083357372
4,5,0.05,11,1,tensor(86.3475),49.0,7,7,32,333,-1,-1,3,2,5,0,5,0,4,4,0.0,10.485281229019165,False,3,0,3,5,15,3.5,0.0,0.0,4.5,2.0,2.061652660369873,0.0,0.6609640474436813,2.957558293423535
5,6,0.05,11,1,tensor(86.3475),49.0,7,7,32,67,2,2,2,2,5,0,5,0,4,4,0.5,11.899494767189026,False,2,0,4,5,20,5.0,0.025,0.1,4.099999904632568,1.899999976158142,2.1024792194366455,0.3989422804014327,0.5000000000000009,2.918295834054491
6,7,0.05,11,1,tensor(86.3475),49.0,7,7,32,21,2,2,2,1,5,0,5,0,4,4,1.0,13.313708305358887,False,2,0,4,5,20,6.5,0.05,0.15384615384615385,3.954545497894287,1.8636363744735718,2.1369469165802,0.5641895835477563,0.6111962106682247,3.3531648955960356
7,8,0.05,11,1,tensor(86.3475),49.0,7,7,32,130,2,2,1,3,5,0,5,0,4,4,1.0,16.14213538169861,False,1,0,5,5,25,9.0,0.04,0.1111111111111111,3.115384578704834,1.6538461446762085,2.5074853897094727,0.5641895835477563,0.5000000000000004,3.4406426982957887
8,9,0.05,11,1,tensor(139.2156),81.0,9,9,40,63,3,2,2,4,6,1,4,1,5,5,3.0,16.14213538169861,False,2,1,5,5,25,10.0,0.12,0.3,4.115384578704834,2.653846263885498,2.5074853897094727,0.9772050238058398,0.507681559705083,3.538407798525413
9,10,0.05,11,1,tensor(139.2156),81.0,9,9,40,86,3,2,2,4,6,1,4,1,2,5,3.0,18.14213538169861,False,2,1,5,5,25,11.5,0.12,0.2608695652173913,4.0,3.0,2.8285269737243652,0.9772050238058398,0.4550746785383243,3.614409345247939
10,11,0.05,11,1,tensor(139.2156),81.0,9,9,40,145,3,2,2,4,6,1,4,1,5,6,3.0,20.14213538169861,False,2,1,5,6,30,13.5,0.1,0.2222222222222222,4.25,3.25,2.850538492202759,0.9772050238058398,0.4641329261745689,3.7519128689978745
11,12,0.05,11,1,tensor(139.2156),81.0,9,9,40,83,3,2,2,4,6,3,4,1,5,6,3.0,22.97056245803833,False,2,1,5,6,30,14.5,0.1,0.20689655172413793,4.25,3.25,2.850538492202759,0.9772050238058398,0.49772799234999165,3.988639961749957
12,13,0.05,11,1,tensor(204.6501),121.0,11,11,40,294,4,3,3,5,7,4,5,1,6,7,3.0,24.97056245803833,False,3,1,5,7,35,16.0,0.08571428571428572,0.1875,5.323529243469238,4.029411792755127,3.046738624572754,0.9772050238058398,0.4550572369040037,4.039475670697409
13,14,0.05,11,1,tensor(204.6501),121.0,11,11,40,36,4,3,3,2,7,4,5,1,6,7,3.0,27.79898953437805,False,3,1,5,7,35,19.0,0.08571428571428572,0.15789473684210525,5.269230842590332,4.038461685180664,3.0504658222198486,0.9772050238058398,0.4818850560895437,4.231353375335078
