,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,1,0.00625,11,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,0.0,0.0
1,2,0.00625,11,1,tensor(18.3105),9.0,3,3,16,148,-1,-1,1,1,2,0,2,0,1,1,0.0,2.8284270763397217,False,1,0,2,2,4,0.0,0.0,-1,1.5,0.5,0.7072067856788635,0.0,-1.9860273225978183e-16,0.9999999999999999
2,3,0.00625,11,1,tensor(46.0459),25.0,5,5,24,292,-1,-1,1,2,3,1,3,1,2,2,0.0,4.828427076339722,False,1,1,3,2,6,0.5,0.0,0.0,2.0,1.5,1.1181340217590332,0.0,3.5606350123330496e-16,1.3899750004807714
3,4,0.00625,11,1,tensor(46.0459),25.0,5,5,24,93,2,1,1,2,3,1,2,1,1,2,1.0,4.828427076339722,True,1,1,3,2,6,1.0,0.16666666666666666,1.0,2.0,1.5,1.1181340217590332,0.5641895835477563,0.20751874963942218,1.9433583328525628
4,5,0.00625,11,1,tensor(86.3475),49.0,7,7,32,406,3,2,2,3,5,2,3,2,2,3,1.0,6.828427076339722,False,2,2,4,2,8,1.5,0.125,0.6666666666666666,3.5,2.5,1.581238865852356,0.5641895835477563,0.3684827970831035,2.3725957927023793
5,6,0.00625,11,1,tensor(86.3475),49.0,7,7,32,227,3,2,2,3,5,2,3,1,2,3,1.5,8.242640614509583,False,2,1,4,3,12,3.0,0.125,0.5,3.5,2.5,1.581238865852356,0.690988298942671,0.5000000000000009,2.918295834054491
6,7,0.00625,11,1,tensor(86.3475),49.0,7,7,32,352,3,2,1,3,5,2,3,1,2,3,1.5,10.242640614509583,False,1,1,5,3,15,4.0,0.1,0.375,3.0,2.5,2.061652660369873,0.690988298942671,0.6111962106682247,3.3531648955960356
7,8,0.00625,11,1,tensor(86.3475),49.0,7,7,32,98,2,2,1,2,5,2,3,1,2,3,2.0,11.656854152679443,False,1,1,5,3,15,5.0,0.13333333333333333,0.4,3.0,2.5,2.061652660369873,0.7978845608028654,0.5000000000000004,3.333333333333334
8,9,0.00625,11,1,tensor(86.3475),49.0,7,7,32,356,3,2,1,2,5,2,3,1,2,3,2.5,13.071067690849304,False,1,1,5,3,15,6.0,0.16666666666666666,0.4166666666666667,3.0,2.0,2.2361679077148438,0.8920620580763856,0.584962500721157,3.6672093668855386
9,10,0.00625,11,1,tensor(86.3475),49.0,7,7,32,422,3,2,1,2,5,2,3,1,3,4,3.0,14.485281229019165,False,1,1,5,4,20,8.0,0.15,0.375,3.0,2.0,2.2361679077148438,0.9772050238058398,0.6609640474436819,3.957558293423536
