,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
15,16,0.0125,11,1,tensor(204.6501),121.0,11,11,40,615,7,4,3,5,9,3,6,1,5,8,2.5,32.870057225227356,False,3,1,7,8,56,24.0,0.044642857142857144,0.10416666666666667,5.804347991943359,4.543478488922119,3.5489754676818848,0.8920620580763856,0.5908684833254055,4.5687517618749665
16,17,0.0125,11,1,tensor(204.6501),121.0,11,11,40,679,6,3,3,5,9,3,6,1,5,8,6.5,30.041630148887634,False,3,1,7,8,56,24.0,0.11607142857142858,0.2708333333333333,5.804347991943359,4.543478488922119,3.5489754676818848,1.438406847937898,0.6296604239088931,4.7189800441672345
17,18,0.0125,11,1,tensor(204.6501),121.0,11,11,40,779,6,3,3,5,9,6,6,1,5,8,6.5,32.041630148887634,False,3,1,7,8,56,26.5,0.11607142857142858,0.24528301886792453,5.804347991943359,4.543478488922119,3.5489754676818848,1.438406847937898,0.6543990719664853,4.8014422043592075
18,19,0.0125,11,1,tensor(204.6501),121.0,11,11,40,239,6,3,3,5,9,6,6,1,5,8,7.0,33.455843687057495,False,3,1,7,8,56,27.5,0.125,0.2545454545454545,6.0,4.5,3.6401548385620117,1.4927053303604616,0.6777998255668672,4.8794447163604815
19,20,0.0125,11,1,tensor(204.6501),121.0,11,11,40,623,6,3,3,5,10,4,6,1,5,8,7.0,36.28427076339722,False,3,1,8,8,64,29.0,0.109375,0.2413793103448276,6.388888835906982,4.611111164093018,3.662555456161499,1.4927053303604616,0.610398157858211,4.87966670359733
20,20,0.0125,11,1,tensor(204.6501),121.0,11,11,39,623,6,3,3,5,10,4,6,1,5,8,7.0,36.28427076339722,False,3,1,8,8,64,29.0,0.109375,0.2413793103448276,6.388888835906982,4.611111164093018,3.662555456161499,1.4927053303604616,0.610398157858211,4.87966670359733
21,21,0.0125,11,1,tensor(204.6501),121.0,11,11,39,1298,6,3,3,3,10,4,6,1,5,8,7.0,39.11269783973694,False,3,1,8,8,64,32.0,0.109375,0.21875,6.348484992980957,4.560606002807617,3.6943981647491455,1.4927053303604616,0.6229419688230418,5.003513633446981
22,22,0.0125,11,1,tensor(204.6501),121.0,11,11,39,22,6,3,3,3,10,4,6,1,5,8,7.0,39.11269783973694,False,3,1,8,8,64,32.0,0.109375,0.21875,6.348484992980957,4.560606002807617,3.6943981647491455,1.4927053303604616,0.5693195683905288,5.009199455412753
23,22,0.0125,11,1,tensor(204.6501),121.0,11,11,38,22,6,3,3,3,10,4,6,1,5,8,7.0,39.11269783973694,False,3,1,8,8,64,32.0,0.109375,0.21875,6.348484992980957,4.560606002807617,3.6943981647491455,1.4927053303604616,0.5693195683905288,5.009199455412753
24,23,0.0125,11,1,tensor(204.6501),121.0,11,11,38,25,6,3,3,3,10,4,6,1,5,8,7.0,41.11269783973694,False,3,1,8,8,64,33.5,0.109375,0.208955223880597,6.1315789222717285,4.289473533630371,3.879336357116699,1.4927053303604616,0.5885586696164433,5.073329792832468
25,24,0.0125,11,1,tensor(204.6501),121.0,11,11,38,133,6,3,3,3,10,4,7,0,5,8,7.5,42.5269113779068,False,3,0,8,9,72,36.5,0.10416666666666667,0.2054794520547945,6.0,4.0,4.123205661773682,1.5450968080927583,0.5917785236711813,5.134730337496611
26,24,0.0125,11,1,tensor(204.6501),121.0,11,11,37,133,6,3,3,3,10,4,7,0,5,8,7.5,42.5269113779068,False,3,0,8,9,72,36.5,0.10416666666666667,0.2054794520547945,6.0,4.0,4.123205661773682,1.5450968080927583,0.5917785236711813,5.134730337496611
27,25,0.0125,11,1,tensor(204.6501),121.0,11,11,37,239,6,3,3,3,10,4,7,0,5,8,7.5,44.5269113779068,False,3,0,8,9,72,38.0,0.10416666666666667,0.19736842105263158,5.851351261138916,3.9864864349365234,4.148770809173584,1.5450968080927583,0.6050072184514068,5.2401787287459225
28,26,0.0125,11,1,tensor(204.6501),121.0,11,11,37,35,6,3,3,3,10,4,7,0,5,8,7.5,44.5269113779068,False,3,0,8,9,72,38.0,0.10416666666666667,0.19736842105263158,5.851351261138916,3.9864864349365234,4.148770809173584,1.5450968080927583,0.5603819494952457,5.244171138766258
29,26,0.0125,11,1,tensor(204.6501),121.0,11,11,36,35,6,3,3,3,10,4,7,0,5,8,7.5,44.5269113779068,False,3,0,8,9,72,38.0,0.10416666666666667,0.19736842105263158,5.851351261138916,3.9864864349365234,4.148770809173584,1.5450968080927583,0.5603819494952457,5.244171138766258
30,27,0.0125,11,1,tensor(204.6501),121.0,11,11,36,173,6,3,2,8,10,4,7,0,2,8,7.5,47.35533845424652,False,2,0,9,9,81,42.0,0.09259259259259259,0.17857142857142858,5.2272725105285645,4.454545497894287,4.794423580169678,1.5450968080927583,0.584962500721156,5.339850002884622
31,28,0.0125,11,1,tensor(204.6501),121.0,11,11,36,714,5,3,2,8,10,4,7,0,2,8,8.5,47.35533845424652,False,2,0,9,9,81,42.0,0.10493827160493827,0.20238095238095238,5.2272725105285645,4.454545497894287,4.794423580169678,1.6448811606198852,0.6007027266893971,5.392317422778758
32,29,0.0125,11,1,tensor(204.6501),121.0,11,11,36,175,5,3,2,8,10,4,7,0,2,8,11.0,45.94112491607666,False,2,0,9,9,81,42.0,0.13580246913580246,0.2619047619047619,5.2272725105285645,4.454545497894287,4.794423580169678,1.8712051592547776,0.6158905486103875,5.442943495848727
33,30,0.0125,11,1,tensor(204.6501),121.0,11,11,36,111,5,3,1,7,10,4,7,0,2,8,11.0,48.76955199241638,False,1,0,10,9,90,45.5,0.12222222222222222,0.24175824175824176,5.166666507720947,4.5,4.859226703643799,1.8712051592547776,0.587386179522105,5.4458918516091535
34,31,0.0125,11,1,tensor(204.6501),121.0,11,11,36,215,5,3,1,7,10,7,7,0,2,8,11.0,51.5979790687561,False,1,0,10,9,90,50.0,0.12222222222222222,0.22,5.5,4.785714149475098,5.015382766723633,1.8712051592547776,0.5518293023244812,5.454196310386874
35,31,0.0125,11,1,tensor(204.6501),121.0,11,11,35,215,5,3,1,7,10,7,7,0,2,8,11.0,51.5979790687561,False,1,0,10,9,90,50.0,0.12222222222222222,0.22,5.5,4.785714149475098,5.015382766723633,1.8712051592547776,0.5518293023244812,5.454196310386874
36,32,0.0125,11,1,tensor(204.6501),121.0,11,11,35,96,5,4,1,7,10,7,7,0,2,8,14.0,48.76955199241638,False,1,0,10,9,90,50.0,0.15555555555555556,0.28,5.5,4.785714149475098,5.015382766723633,2.111004122822376,0.5655704092084183,5.499999999999997
37,33,0.0125,11,1,tensor(204.6501),121.0,11,11,35,23,5,4,1,7,10,7,7,0,2,8,14.0,51.5979790687561,False,1,0,10,9,90,53.0,0.15555555555555556,0.2641509433962264,5.5,4.5,5.147915363311768,2.111004122822376,0.5752360574134429,5.579588783304151
38,33,0.0125,11,1,tensor(204.6501),121.0,11,11,34,23,5,4,1,7,10,7,7,0,2,8,14.0,51.5979790687561,False,1,0,10,9,90,53.0,0.15555555555555556,0.2641509433962264,5.5,4.5,5.147915363311768,2.111004122822376,0.5752360574134429,5.579588783304151
39,34,0.0125,11,1,tensor(204.6501),121.0,11,11,34,246,5,4,0,5,10,7,7,0,2,8,14.0,56.426406145095825,False,0,0,11,9,99,57.5,0.1414141414141414,0.24347826086956523,5.300000190734863,4.5,5.323632717132568,2.111004122822376,0.5881566739810087,5.622657505196035
40,35,0.0125,11,1,tensor(204.6501),121.0,11,11,34,182,5,4,0,5,10,7,7,0,2,8,14.0,56.426406145095825,False,0,0,11,9,99,57.5,0.1414141414141414,0.24347826086956523,5.300000190734863,4.5,5.323632717132568,2.111004122822376,0.5974605789201586,5.69803477881993
41,35,0.0125,11,1,tensor(204.6501),121.0,11,11,33,182,5,4,0,5,10,7,7,0,2,8,14.0,56.426406145095825,False,0,0,11,9,99,57.5,0.1414141414141414,0.24347826086956523,5.300000190734863,4.5,5.323632717132568,2.111004122822376,0.5974605789201586,5.69803477881993
42,36,0.0125,11,1,tensor(204.6501),121.0,11,11,33,66,4,4,0,5,10,7,7,0,2,8,22.0,48.76955199241638,False,0,0,11,9,99,57.5,0.2222222222222222,0.3826086956521739,5.300000190734863,4.5,5.323632717132568,2.6462837142006137,0.6096531742693629,5.738676763317279
43,37,0.0125,11,1,tensor(204.6501),121.0,11,11,33,156,4,4,0,5,10,7,7,0,1,9,22.0,51.5979790687561,False,0,0,11,10,110,61.5,0.2,0.35772357723577236,5.5,5.5,5.700977325439453,2.6462837142006137,0.6279247172673263,5.8102702962137736
44,38,0.0125,11,1,tensor(204.6501),121.0,11,11,33,27,4,4,0,5,10,7,7,0,1,9,23.0,50.76955199241638,False,0,0,11,10,110,61.5,0.20909090909090908,0.37398373983739835,5.5,5.5,5.700977325439453,2.7057581899030048,0.6394669616117168,5.848744444028408
45,39,0.0125,11,1,tensor(204.6501),121.0,11,11,33,38,4,4,0,5,10,7,7,0,1,9,24.0,49.94112491607666,False,0,0,11,10,110,61.5,0.21818181818181817,0.3902439024390244,5.5,5.5,5.700977325439453,2.763953195770684,0.6507093732373155,5.8862191494470695
46,40,0.0125,11,1,tensor(204.6501),121.0,11,11,33,54,4,4,0,5,10,7,7,0,1,9,26.0,49.94112491607666,False,0,0,11,10,110,63.5,0.23636363636363636,0.4094488188976378,5.5,5.5,5.700977325439453,2.876813695875796,0.66166713604485,5.922745025472186
47,41,0.0125,11,1,tensor(204.6501),121.0,11,11,33,149,4,4,0,5,10,7,7,0,1,9,26.0,49.94112491607666,False,0,0,11,10,110,63.5,0.23636363636363636,0.4094488188976378,5.5,5.5,5.700977325439453,2.876813695875796,0.6723543089640659,5.958368935202906
48,42,0.0125,11,1,tensor(204.6501),121.0,11,11,33,4,4,4,0,5,10,7,7,0,1,9,26.0,49.94112491607666,False,0,0,11,10,110,63.5,0.23636363636363636,0.4094488188976378,5.5,5.5,5.700977325439453,2.876813695875796,0.647672931753703,5.955082863820688
49,43,0.0125,11,1,tensor(204.6501),121.0,11,11,33,2,4,4,0,5,10,7,7,0,1,9,26.0,49.94112491607666,False,0,0,11,10,110,63.5,0.23636363636363636,0.4094488188976378,5.5,5.5,5.700977325439453,2.876813695875796,0.6578571313307036,5.989030195744024
50,43,0.0125,11,1,tensor(204.6501),121.0,11,11,32,2,4,4,0,5,10,7,7,0,1,9,26.0,49.94112491607666,False,0,0,11,10,110,63.5,0.23636363636363636,0.4094488188976378,5.5,5.5,5.700977325439453,2.876813695875796,0.6578571313307036,5.989030195744024
51,44,0.0125,11,1,tensor(204.6501),121.0,11,11,32,57,4,4,0,2,10,7,7,0,1,9,27.5,59.012192606925964,False,0,0,11,10,110,73.5,0.25,0.3741496598639456,5.0,4.857142925262451,5.758855819702148,2.9586351363515986,0.6678071905112642,6.022197059679227
52,45,0.0125,11,1,tensor(204.6501),121.0,11,11,32,5,4,4,0,2,10,7,7,0,1,9,28.5,59.012192606925964,False,0,0,11,10,110,73.5,0.2590909090909091,0.3877551020408163,5.0,4.857142925262451,5.758855819702148,3.0119481662601757,0.6775336338189778,6.054618537371605
53,46,0.0125,11,1,tensor(204.6501),121.0,11,11,32,430,5,4,0,2,10,7,7,0,1,9,33.0,55.5979790687561,False,0,0,11,10,110,73.5,0.3,0.4489795918367347,5.0,4.857142925262451,5.758855819702148,3.2410224072142872,0.6870462917371785,6.086327397098941
54,46,0.0125,11,1,tensor(204.6501),121.0,11,11,31,430,5,4,0,2,10,7,7,0,1,9,33.0,55.5979790687561,False,0,0,11,10,110,73.5,0.3,0.4489795918367347,5.0,4.857142925262451,5.758855819702148,3.2410224072142872,0.6870462917371785,6.086327397098941
55,47,0.0125,11,1,tensor(204.6501),121.0,11,11,31,56,5,4,0,2,10,7,7,0,4,10,33.0,58.426406145095825,False,0,0,11,11,121,79.0,0.2727272727272727,0.4177215189873418,5.0,4.857142925262451,5.758855819702148,3.2410224072142872,0.6552735242644172,6.08403569620442
