,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,1,0.5,11,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,0.0,0.0
1,2,0.5,11,1,tensor(18.3105),9.0,3,3,16,3,-1,-1,1,1,2,1,1,1,1,1,0.0,2.0,False,1,1,2,1,2,0.0,0.0,-1,1.5,1.0,0.5001000165939331,0.0,-1.9860273225978183e-16,0.9999999999999999
2,3,0.5,11,1,tensor(46.0459),25.0,5,5,24,1,-1,-1,1,1,3,2,1,1,2,2,0.0,4.828427076339722,False,1,1,3,2,6,0.5,0.0,0.0,2.0,1.5,1.1181340217590332,0.0,0.2924812503605784,1.7799500009615423
3,4,0.5,11,1,tensor(86.3475),49.0,7,7,32,7,-1,-1,2,2,5,3,2,2,3,3,0.0,6.828427076339722,False,2,2,4,2,8,1.0,0.0,0.0,3.5,2.5,1.581238865852356,0.0,0.5000000000000006,2.333333333333335
4,5,0.5,11,1,tensor(86.3475),49.0,7,7,32,5,2,2,2,2,5,3,2,2,2,3,0.5,7.414213538169861,False,2,2,4,2,8,1.5,0.0625,0.3333333333333333,3.5,2.5,1.581238865852356,0.3989422804014327,0.3684827970831035,2.3725957927023793
5,6,0.5,11,1,tensor(86.3475),49.0,7,7,32,15,2,2,1,1,5,3,1,1,2,3,0.5,10.242640614509583,False,1,1,5,3,15,3.0,0.03333333333333333,0.16666666666666666,3.0,2.0,2.2361679077148438,0.3989422804014327,0.5000000000000009,2.918295834054491
6,7,0.5,11,1,tensor(139.2156),81.0,9,9,40,3,3,3,1,3,6,4,2,2,3,4,0.5,13.071067690849304,False,1,2,6,3,18,4.5,0.027777777777777776,0.1111111111111111,3.5,3.5,2.549609661102295,0.3989422804014327,0.5422064766172813,3.3073549220576037
7,8,0.5,11,1,tensor(204.6501),121.0,11,11,40,17,4,4,1,4,7,5,3,3,4,5,0.5,15.071067690849304,False,1,3,7,3,21,5.5,0.023809523809523808,0.09090909090909091,4.0,4.5,3.0414812564849854,0.3989422804014327,0.4567040592723893,3.368482797083101
8,9,0.5,11,1,tensor(204.6501),121.0,11,11,40,3,4,4,0,4,7,5,3,3,4,5,0.5,17.071067690849304,False,0,3,8,3,24,6.5,0.020833333333333332,0.07692307692307693,3.5,4.5,3.5356338024139404,0.3989422804014327,0.47548875021634696,3.538407798525414
9,9,0.5,11,1,tensor(204.6501),121.0,11,11,39,3,4,4,0,4,7,5,3,3,4,5,0.5,17.071067690849304,False,0,3,8,3,24,6.5,0.020833333333333332,0.07692307692307693,3.5,4.5,3.5356338024139404,0.3989422804014327,0.47548875021634696,3.538407798525414
