,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,1,0.003125,11,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,0.0,0.0
1,2,0.003125,11,1,tensor(18.3105),9.0,3,3,16,58,-1,-1,0,0,1,1,0,0,1,1,0.0,2.8284270763397217,False,0,0,2,2,4,0.0,0.0,-1,0.5,0.5,0.7072067856788635,0.0,0.9999999999999996,2.0
2,3,0.003125,11,1,tensor(46.0459),25.0,5,5,24,578,-1,-1,1,1,2,0,2,0,2,2,0.0,5.656854152679443,False,1,0,2,3,6,1.0,0.0,0.0,2.0,1.0,1.000100016593933,0.0,3.5606350123330496e-16,1.3899750004807714
3,4,0.003125,11,1,tensor(86.3475),49.0,7,7,32,365,-1,-1,2,0,3,1,2,0,3,3,0.0,8.485281229019165,False,2,0,2,4,8,2.0,0.0,0.0,2.5,1.5,1.581238865852356,0.0,0.20751874963942218,1.9433583328525628
4,5,0.003125,11,1,tensor(86.3475),49.0,7,7,32,1239,-1,-1,2,0,4,4,2,0,4,4,0.0,11.313708305358887,False,2,0,3,5,15,3.0,0.0,0.0,3.0,2.0,2.2361679077148438,0.0,0.3684827970831032,2.5675832929427638
5,6,0.003125,11,1,tensor(86.3475),49.0,7,7,32,2472,3,2,2,0,4,4,2,0,4,4,2.0,11.313708305358887,False,2,0,3,5,15,4.0,0.13333333333333333,0.5,3.0,2.0,2.2361679077148438,0.7978845608028654,0.5000000000000006,3.0566416671474386
6,7,0.003125,11,1,tensor(86.3475),49.0,7,7,32,170,3,2,2,0,4,4,2,0,3,5,2.0,14.142135381698608,False,2,0,3,6,18,6.0,0.1111111111111111,0.3333333333333333,2.5,2.5,2.549609661102295,0.7978845608028654,0.6111962106682247,3.4604742605584895
7,8,0.003125,11,1,tensor(86.3475),49.0,7,7,32,179,3,2,2,0,5,1,2,0,3,5,2.0,16.97056245803833,False,2,0,4,6,24,9.0,0.08333333333333333,0.2222222222222222,2.857142925262451,2.4285714626312256,2.575493574142456,0.7978845608028654,0.7075187496394226,3.805012499759615
8,9,0.003125,11,1,tensor(139.2156),81.0,9,9,40,728,4,3,3,1,6,2,3,1,5,7,2.0,19.79898953437805,False,3,1,4,7,28,11.0,0.07142857142857142,0.18181818181818182,4.0,4.0,3.1623775959014893,0.7978845608028654,0.4317129926384541,3.573602462471113
9,10,0.003125,11,1,tensor(139.2156),81.0,9,9,40,2497,4,3,3,1,7,3,3,1,5,7,2.0,22.627416610717773,False,3,1,5,7,35,14.0,0.05714285714285714,0.14285714285714285,4.0,4.0,3.1623775959014893,0.7978845608028654,0.4643856189774728,3.821928094887361
10,11,0.003125,11,1,tensor(204.6501),121.0,11,11,40,182,5,4,4,2,9,3,4,2,6,8,2.0,25.455843687057495,False,4,2,6,7,42,17.0,0.047619047619047616,0.11764705882352941,6.0714287757873535,4.642857074737549,3.3580024242401123,0.7978845608028654,0.5226291762466845,4.044394119358453
11,12,0.003125,11,1,tensor(204.6501),121.0,11,11,40,1545,5,4,4,2,9,3,4,2,4,8,2.0,28.284270763397217,False,4,2,6,7,42,20.0,0.047619047619047616,0.1,6.0,5.0,3.6056511402130127,0.7978845608028654,0.5754887502163474,4.245926548164837
12,13,0.003125,11,1,tensor(204.6501),121.0,11,11,40,515,5,4,3,8,9,3,4,2,4,8,2.0,30.284270763397217,False,3,2,7,7,49,23.0,0.04081632653061224,0.08695652173913043,5.9193549156188965,5.403225898742676,3.9072561264038086,0.7978845608028654,0.597578827233942,4.430155527459739
13,14,0.003125,11,1,tensor(204.6501),121.0,11,11,40,535,5,4,2,8,9,3,4,2,4,8,2.0,32.28427076339722,False,2,2,8,7,56,26.0,0.03571428571428571,0.07692307692307693,5.5,5.5,4.301262855529785,0.7978845608028654,0.6296533884088952,4.53707073137625
14,15,0.003125,11,1,tensor(204.6501),121.0,11,11,40,316,4,4,2,7,9,3,4,2,4,8,2.5,33.69848430156708,False,2,2,8,7,56,27.0,0.044642857142857144,0.09259259259259259,5.5,5.5,4.301262855529785,0.8920620580763856,0.6720671786825553,4.699371845969094
15,16,0.003125,11,1,tensor(204.6501),121.0,11,11,40,1442,4,4,2,7,9,3,4,2,4,8,3.0,34.28427076339722,False,2,2,8,7,56,27.0,0.05357142857142857,0.1111111111111111,5.5,5.5,4.301262855529785,0.9772050238058398,0.7,4.792481250360575
16,17,0.003125,11,1,tensor(204.6501),121.0,11,11,40,1919,4,4,2,7,10,2,4,2,4,8,3.0,37.11269783973694,False,2,2,9,7,63,31.0,0.047619047619047616,0.0967741935483871,6.0,5.0,5.000100135803223,0.9772050238058398,0.6189689035172422,4.776718652877203
17,17,0.003125,11,1,tensor(204.6501),121.0,11,11,39,1919,4,4,2,7,10,2,4,2,4,8,3.0,37.11269783973694,False,2,2,9,7,63,31.0,0.047619047619047616,0.0967741935483871,6.0,5.0,5.000100135803223,0.9772050238058398,0.6189689035172422,4.776718652877203
18,18,0.003125,11,1,tensor(204.6501),121.0,11,11,39,2633,4,5,2,7,10,2,4,2,2,9,3.5,38.5269113779068,False,2,2,9,8,72,33.0,0.04861111111111111,0.10606060606060606,6.0,5.5,5.315173149108887,1.055502061411188,0.6437075515748337,4.859180813069174
19,19,0.003125,11,1,tensor(204.6501),121.0,11,11,39,1728,4,5,2,7,10,2,4,2,2,9,3.5,41.35533845424652,False,2,2,9,8,72,40.5,0.04861111111111111,0.08641975308641975,6.0,5.5,5.315173149108887,1.055502061411188,0.6478437973809766,4.93718332507045
20,20,0.003125,11,1,tensor(204.6501),121.0,11,11,39,911,4,5,1,10,10,2,4,2,1,10,3.5,44.18376553058624,False,1,2,10,9,90,44.0,0.03888888888888889,0.07954545454545454,5.5,6.0,6.020897388458252,1.055502061411188,0.5848326703113916,4.9331243055555865
21,20,0.003125,11,1,tensor(204.6501),121.0,11,11,38,911,4,5,1,10,10,2,4,2,1,10,3.5,44.18376553058624,False,1,2,10,9,90,44.0,0.03888888888888889,0.07954545454545454,5.5,6.0,6.020897388458252,1.055502061411188,0.5848326703113916,4.9331243055555865
22,21,0.003125,11,1,tensor(204.6501),121.0,11,11,38,733,4,5,0,9,10,2,4,2,1,10,3.5,47.012192606925964,False,0,2,11,9,99,49.0,0.03535353535353535,0.07142857142857142,5.0,5.5,6.103377819061279,1.055502061411188,0.5339850002884632,4.942085259554218
