,00_parameters/log_dir,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,1,1.0,21,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,-1.0,-1.0
1,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,2,1.0,21,1,18.310543469948435,9.0,3,3,16,0,-1,-1,1,0,1,0,1,0,1,1,0.0,2.0,False,1,0,1,2,2,0.0,0.0,-1,1.0,0.5,0.5001000165939331,0.0,0.9999999999999992,1.9999999999999991
2,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,2,1.0,21,1,18.310543469948435,9.0,3,3,16,0,-1,-1,1,0,1,0,1,0,1,1,0.0,2.0,False,1,0,1,2,2,0.0,0.0,-1,1.0,0.5,0.5001000165939331,0.0,0.9999999999999992,1.9999999999999991
3,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,3,1.0,21,1,46.04586447053771,25.0,5,5,24,1,-1,-1,2,1,2,1,2,1,2,3,0.0,4.0,False,2,1,1,3,3,0.0,0.0,-1,2.0,2.0,1.000100016593933,0.0,0.29248125036057865,1.7799500009615425
4,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,3,1.0,21,1,46.04586447053771,25.0,5,5,24,1,-1,-1,2,1,2,1,2,1,2,3,0.0,4.0,False,2,1,1,3,3,0.0,0.0,-1,2.0,2.0,1.000100016593933,0.0,0.29248125036057865,1.7799500009615425
5,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,4,1.0,21,1,86.34755172854614,49.0,7,7,32,28,-1,-1,2,1,3,2,2,1,3,4,0.0,6.828427076339722,False,2,1,2,4,8,1.0,0.0,0.0,2.5,2.5,1.581238865852356,0.0,0.2075187496394223,2.1383458330929486
6,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,4,1.0,21,1,86.34755172854614,49.0,7,7,32,28,-1,-1,2,1,3,2,2,1,3,4,0.0,6.828427076339722,False,2,1,2,4,8,1.0,0.0,0.0,2.5,2.5,1.581238865852356,0.0,0.2075187496394223,2.1383458330929486
7,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,5,1.0,21,1,86.34755172854614,49.0,7,7,32,8,-1,-1,2,1,4,5,2,1,4,5,0.0,9.656854152679443,False,2,1,3,5,15,2.0,0.0,0.0,3.0,3.0,2.2361679077148438,0.0,0.3684827970831032,2.705929126035712
8,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,6,1.0,21,1,86.34755172854614,49.0,7,7,32,5,3,4,2,1,4,5,2,1,3,5,0.5,10.242640614509583,False,2,1,3,5,15,3.0,0.03333333333333333,0.16666666666666666,3.0,3.0,2.2361679077148438,0.3989422804014327,0.5000000000000006,3.0566416671474386
9,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,7,1.0,21,1,139.21561702440815,81.0,9,9,40,13,4,5,3,2,5,6,4,1,4,6,0.5,13.071067690849304,False,3,1,3,6,18,5.0,0.027777777777777776,0.1,4.5,3.5,2.549609661102295,0.3989422804014327,0.4082214763288189,3.014873671697027
10,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,7,1.0,21,1,139.21561702440815,81.0,9,9,40,13,4,5,3,2,5,6,4,1,4,6,0.5,13.071067690849304,False,3,1,3,6,18,5.0,0.027777777777777776,0.1,4.5,3.5,2.549609661102295,0.3989422804014327,0.4082214763288189,3.014873671697027
11,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,8,1.0,21,1,204.6500546230325,121.0,11,11,48,8,5,6,4,1,6,7,4,1,5,7,0.5,15.899494767189026,False,4,1,3,7,21,6.0,0.023809523809523808,0.08333333333333333,5.0,4.0,3.1623775959014893,0.3989422804014327,0.3736965594166207,3.1609640474436818
12,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,8,1.0,21,1,204.6500546230325,121.0,11,11,48,8,5,6,4,1,6,7,4,1,5,7,0.5,15.899494767189026,False,4,1,3,7,21,6.0,0.023809523809523808,0.08333333333333333,5.0,4.0,3.1623775959014893,0.3989422804014327,0.3736965594166207,3.1609640474436818
13,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,9,1.0,21,1,204.6500546230325,121.0,11,11,48,40,5,6,4,1,7,8,4,1,7,8,0.5,18.727921843528748,False,4,1,4,8,32,8.5,0.015625,0.058823529411764705,5.5,4.5,3.8079864978790283,0.3989422804014327,0.40947375050480933,3.4624062518028915
14,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,10,1.0,21,1,204.6500546230325,121.0,11,11,48,8,4,4,4,1,7,8,4,1,7,8,1.5,18.727921843528748,False,4,1,4,8,32,9.0,0.046875,0.16666666666666666,5.5,4.5,3.8079864978790283,0.690988298942671,0.45507467853832434,3.6144093452479416
15,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,11,1.0,21,1,204.6500546230325,121.0,11,11,48,15,4,4,3,4,7,8,4,1,7,8,2.0,20.14213538169861,False,3,1,5,8,40,12.0,0.05,0.16666666666666666,5.5,4.5,3.8079864978790283,0.7978845608028654,0.4863721683082136,3.8631090796661
16,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,12,1.0,21,1,204.6500546230325,121.0,11,11,48,31,4,3,3,2,7,8,4,1,7,8,4.0,20.14213538169861,False,3,1,5,8,40,13.0,0.1,0.3076923076923077,5.5,4.5,3.8079864978790283,1.1283791670955126,0.5169925001442311,4.084962500721157
17,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,13,1.0,21,1,282.65083610598333,169.0,13,13,56,43,5,4,4,3,8,9,6,1,8,9,4.0,22.97056245803833,False,4,1,5,9,45,16.0,0.08888888888888889,0.25,7.0,5.0,4.123205661773682,1.1283791670955126,0.5293964232365672,4.200439718141092
18,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,13,1.0,21,1,282.65083610598333,169.0,13,13,56,43,5,4,4,3,8,9,6,1,8,9,4.0,22.97056245803833,False,4,1,5,9,45,16.0,0.08888888888888889,0.25,7.0,5.0,4.123205661773682,1.1283791670955126,0.5293964232365672,4.200439718141092
19,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,14,1.0,21,1,282.65083610598333,169.0,13,13,56,20,5,4,4,3,8,9,6,1,8,9,4.0,24.97056245803833,False,4,1,5,9,45,20.0,0.08888888888888889,0.2,7.0,5.0,4.123205661773682,1.1283791670955126,0.4818850560895436,4.23135337533508
20,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,15,1.0,21,1,282.65083610598333,169.0,13,13,56,64,5,4,3,6,8,9,6,1,8,9,4.0,27.79898953437805,False,3,1,6,9,54,23.5,0.07407407407407407,0.1702127659574468,7.0,5.0,4.123205661773682,1.1283791670955126,0.5117457581548179,4.330889048885996
21,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,16,1.0,21,1,282.65083610598333,169.0,13,13,56,87,5,4,3,6,9,10,6,1,9,10,4.0,30.627416610717773,False,3,1,7,10,70,27.5,0.05714285714285714,0.14545454545454545,7.5,5.5,4.743516445159912,1.1283791670955126,0.5548788888167672,4.500000000000001
22,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,17,1.0,21,1,282.65083610598333,169.0,13,13,56,33,5,4,3,6,9,10,6,1,9,10,4.0,33.455843687057495,False,3,1,7,10,70,27.5,0.05714285714285714,0.14545454545454545,7.5,5.5,4.743516445159912,1.1283791670955126,0.5618532333976298,4.587462841250341
23,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,18,1.0,21,1,282.65083610598333,169.0,13,13,56,8,5,4,3,2,9,10,6,1,9,10,4.0,36.28427076339722,False,3,1,7,10,70,31.5,0.05714285714285714,0.12698412698412698,6.1052632331848145,5.9210524559021,5.0018310546875,1.1283791670955126,0.6003422338302156,4.738676763317281
24,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,19,1.0,21,1,282.65083610598333,169.0,13,13,56,38,5,4,3,2,10,10,6,1,9,10,4.0,38.28427076339722,False,3,1,8,10,80,36.0,0.05,0.1111111111111111,6.5,6.0,5.315173149108887,1.1283791670955126,0.6237429874305968,4.816679275318554
25,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,20,1.0,21,1,282.65083610598333,169.0,13,13,56,23,5,4,2,5,10,10,6,1,9,10,4.0,41.11269783973694,False,2,1,9,10,90,38.0,0.044444444444444446,0.10526315789473684,6.5,6.0,5.315173149108887,1.1283791670955126,0.5795859283219779,4.8219280948873635
26,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,21,1.0,21,1,282.65083610598333,169.0,13,13,56,7,5,4,2,5,11,9,6,1,9,10,4.0,43.94112491607666,False,2,1,10,10,100,44.0,0.04,0.09090909090909091,6.766666889190674,5.766666889190674,5.326971054077148,1.1283791670955126,0.528540221886225,4.838859820820506
27,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_02_08_GMADDA_k1.0_ls21_pad1,22,1.0,21,1,373.2180467285683,225.0,15,15,64,1,6,5,3,6,12,10,6,1,10,11,4.0,46.76955199241638,False,3,1,10,11,110,46.5,0.03636363636363636,0.08602150537634409,8.5,6.0,5.590270042419434,1.1283791670955126,0.5593660010354371,4.959431618637297
