,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,7,1.0,15,1,86.34755172854614,49.0,7,7,32,1,3,4,1,5,5,5,3,3,4,6,4.0,11.313708305358887,False,1,3,5,4,20,6.0,0.2,0.6666666666666666,3.0,5.0,2.0000998973846436,1.1283791670955126,0.9036774610288034,3.850449261039262
1,8,1.0,15,1,139.21561702440815,81.0,9,9,40,1,4,5,2,6,6,6,4,4,4,8,4.0,14.142135381698608,False,2,4,5,5,25,8.0,0.16,0.5,4.0,6.0,2.0000998973846436,1.1283791670955126,0.4830074998557686,3.4999999999999973
2,9,1.0,15,1,139.21561702440815,81.0,9,9,40,2,4,5,2,6,7,5,4,4,4,8,4.0,16.97056245803833,False,2,4,6,5,30,10.0,0.13333333333333333,0.4,4.5,5.5,2.549609661102295,1.1283791670955126,0.524031432933371,3.781121212110534
3,10,1.0,15,1,139.21561702440815,81.0,9,9,40,9,4,5,2,6,7,5,4,3,4,8,4.0,18.97056245803833,False,2,3,6,6,36,12.5,0.1111111111111111,0.32,4.5,5.5,2.549609661102295,1.1283791670955126,0.5696323609668861,3.933124305555584
4,11,1.0,15,1,139.21561702440815,81.0,9,9,40,12,4,5,2,6,7,5,3,2,4,8,4.0,21.79898953437805,False,2,2,6,7,42,15.5,0.09523809523809523,0.25806451612903225,3.9285714626312256,4.9285712242126465,3.0723588466644287,1.1283791670955126,0.603844485302727,4.166950368276718
5,12,1.0,15,1,139.21561702440815,81.0,9,9,40,12,4,5,2,1,7,5,2,1,4,8,4.0,24.627416610717773,False,2,1,6,8,48,18.5,0.08333333333333333,0.21621621621621623,3.3888888359069824,4.388888835906982,3.662555456161499,1.1283791670955126,0.6362570079384706,4.377443751081731
6,13,1.0,15,1,204.6500546230325,121.0,11,11,48,18,5,6,3,2,9,5,3,2,5,9,4.0,27.455843687057495,False,3,2,7,8,56,23.0,0.07142857142857142,0.17391304347826086,5.166666507720947,5.166666507720947,3.83705472946167,1.1283791670955126,0.5615892327253035,4.361403765584771
7,14,1.0,15,1,282.65083610598333,169.0,13,13,56,8,6,7,4,3,11,5,4,3,6,10,4.0,30.284270763397217,False,4,3,8,8,64,27.5,0.0625,0.14545454545454545,6.94444465637207,5.94444465637207,4.164173126220703,1.1283791670955126,0.4915712100148024,4.37610668393257
8,15,1.0,15,1,282.65083610598333,169.0,13,13,56,38,6,7,4,3,11,7,4,3,6,10,4.0,33.11269783973694,False,4,3,8,8,64,32.5,0.0625,0.12307692307692308,6.963414669036865,5.939024448394775,4.173790454864502,1.1283791670955126,0.4550746785383243,4.406890595608516
9,16,1.0,15,1,282.65083610598333,169.0,13,13,56,69,6,7,4,3,11,7,4,3,6,10,4.0,35.11269783973694,False,4,3,8,8,64,36.0,0.0625,0.1111111111111111,7.159574508666992,5.882978916168213,4.277304649353027,1.1283791670955126,0.4775627214535312,4.5577386087099665
10,17,1.0,15,1,282.65083610598333,169.0,13,13,56,108,6,7,4,3,11,7,4,3,7,11,4.0,37.94112491607666,False,4,3,8,9,72,40.0,0.05555555555555555,0.1,7.084905624389648,6.405660152435303,4.595224380493164,1.1283791670955126,0.4325750584748446,4.587462841250336
11,18,1.0,15,1,373.2180467285683,225.0,15,15,56,3,8,8,5,4,13,5,5,4,8,12,4.5,39.35533845424652,False,5,4,9,9,81,42.0,0.05555555555555555,0.10714285714285714,8.663934707641602,7.1885247230529785,4.8571672439575195,1.196826841204298,0.45731370653243675,4.66992500144231
