,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,823,1.0,255,1,25500.905586610726,16129.0,127,127,512,1,61,48,0,10,121,59,5,6,74,98,135.0,1890.3800587654114,False,0,6,122,93,11346,6366.0,0.011898466419883659,0.02120640904806786,53.975894927978516,50.61054611206055,67.5472183227539,6.555290583552474,0.489399628571825,9.994023957093466
1,824,1.0,255,1,25500.905586610726,16129.0,127,127,512,11,61,48,0,10,121,59,5,6,74,98,135.0,1892.3800587654114,False,0,6,122,93,11346,6366.0,0.011898466419883659,0.02120640904806786,53.975894927978516,50.61054611206055,67.5472183227539,6.555290583552474,0.48978085338613786,9.996186169782087
2,825,1.0,255,1,25500.905586610726,16129.0,127,127,512,462,61,48,0,10,121,59,5,6,74,98,135.0,1895.208485841751,False,0,6,122,93,11346,6366.0,0.011898466419883659,0.02120640904806786,53.975894927978516,50.61054611206055,67.5472183227539,6.555290583552474,0.48955781925845093,9.998925153007356
3,826,1.0,255,1,25500.905586610726,16129.0,127,127,512,650,60,46,0,10,121,59,5,6,74,98,142.0,1890.3800587654114,False,0,6,122,93,11346,6366.0,0.012515423937951702,0.022306000628338044,53.975894927978516,50.61054611206055,67.5472183227539,6.723094811029982,0.48974506878912305,9.999923817170938
4,827,1.0,255,1,25500.905586610726,16129.0,127,127,512,4474,60,46,0,10,121,59,5,6,74,98,142.0,1892.3800587654114,False,0,6,122,93,11346,6366.0,0.012515423937951702,0.022306000628338044,53.975894927978516,50.61054611206055,67.5472183227539,6.723094811029982,0.4885074321968056,9.997122180853852
5,828,1.0,255,1,25500.905586610726,16129.0,127,127,512,1024,60,46,0,10,121,59,5,6,74,98,142.0,1895.208485841751,False,0,6,122,93,11346,6366.0,0.012515423937951702,0.022306000628338044,53.975894927978516,50.61054611206055,67.5472183227539,6.723094811029982,0.4888870255605928,9.999275209727433
6,829,1.0,255,1,25500.905586610726,16129.0,127,127,512,248,60,46,0,10,121,59,4,5,74,98,142.0,1898.0369129180908,False,0,5,122,94,11468,6392.5,0.01238228113010115,0.02221353148220571,54.0,50.5,67.60372161865234,6.723094811029982,0.48836347833068133,10.001165967270921
7,830,1.0,255,1,25500.905586610726,16129.0,127,127,512,72,60,46,0,10,121,59,4,5,74,98,142.0,1900.8653399944305,False,0,5,122,94,11468,6392.5,0.01238228113010115,0.02221353148220571,54.0,50.5,67.60372161865234,6.723094811029982,0.488549824909811,10.002159815692947
8,831,1.0,255,1,25500.905586610726,16129.0,127,127,512,3593,60,46,0,10,121,59,5,4,74,98,142.0,1903.6937670707703,False,0,4,122,95,11590,6419.5,0.012251941328731666,0.02212010281174546,54.0,50.5,67.60372161865234,6.723094811029982,0.48843374786909655,10.003152467427839
9,832,1.0,255,1,25500.905586610726,16129.0,127,127,512,661,60,46,0,10,121,59,5,4,74,98,142.0,1906.52219414711,False,0,4,122,95,11590,6419.5,0.012251941328731666,0.02212010281174546,54.0,50.5,67.60372161865234,6.723094811029982,0.48791773123614723,10.00504467876656
