,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,22,1.0,31,1,373.2180467285683,225.0,15,15,64,1,8,8,5,4,13,10,5,4,9,14,4.5,49.012192606925964,False,5,4,9,11,99,58.0,0.045454545454545456,0.07758620689655173,8.513157844543457,8.394737243652344,5.626465797424316,1.196826841204298,0.5371267589017928,5.055754157608494
1,23,1.0,31,1,476.3515643429166,289.0,17,17,72,24,9,9,6,5,15,6,6,5,10,15,4.5,51.012192606925964,False,6,5,10,11,110,61.0,0.04090909090909091,0.07377049180327869,10.093023300170898,9.162790298461914,5.838050365447998,1.196826841204298,0.47125219871915536,4.92328914341945
2,24,1.0,31,1,476.3515643429166,289.0,17,17,72,129,9,9,6,5,15,6,6,5,10,15,4.5,53.012192606925964,False,6,5,10,11,110,63.5,0.04090909090909091,0.07086614173228346,10.093023300170898,9.162790298461914,5.838050365447998,1.196826841204298,0.48353230765198346,4.972409579150763
3,25,1.0,31,1,476.3515643429166,289.0,17,17,72,21,9,9,6,5,15,13,6,5,10,15,4.5,55.840619683265686,False,6,5,10,11,110,70.5,0.04090909090909091,0.06382978723404255,10.5,9.0,6.020897388458252,1.196826841204298,0.4457637380991763,4.9644330715184095
4,26,1.0,31,1,476.3515643429166,289.0,17,17,72,106,9,9,6,5,15,13,6,5,10,15,4.5,58.66904675960541,False,6,5,10,11,110,73.5,0.04090909090909091,0.061224489795918366,10.5,9.0,6.020897388458252,1.196826841204298,0.4478881948283459,5.031708650067909
5,27,1.0,31,1,476.3515643429166,289.0,17,17,72,30,8,10,6,5,15,13,6,5,10,15,6.5,58.66904675960541,False,6,5,10,11,110,74.5,0.05909090909090909,0.087248322147651,10.5,9.0,6.020897388458252,1.438406847937898,0.42479275134435884,5.0347975814588715
6,28,1.0,31,1,592.0515280451535,361.0,19,19,80,3,9,11,7,6,17,13,7,6,11,16,6.5,61.49747383594513,False,7,6,11,11,121,78.0,0.05371900826446281,0.08333333333333333,11.708333015441895,9.916666984558105,6.124533176422119,1.438406847937898,0.4426862934675635,5.113771808096069
7,29,1.0,31,1,720.3177817908993,441.0,21,21,88,3,10,12,8,7,19,15,8,7,12,17,6.5,64.32590091228485,False,8,7,12,11,132,83.5,0.04924242424242424,0.07784431137724551,13.5,11.0,6.800835609436035,1.438406847937898,0.44465013152619165,5.199373197570008
8,30,1.0,31,1,720.3177817908993,441.0,21,21,88,51,10,12,7,6,19,15,7,6,12,17,6.5,67.15432798862457,False,7,6,13,12,156,90.0,0.041666666666666664,0.07222222222222222,13.0,10.5,7.500100135803223,1.438406847937898,0.4473931188332417,5.281403066993029
9,31,1.0,31,1,720.3177817908993,441.0,21,21,88,102,10,12,7,6,19,15,8,5,12,17,6.5,69.9827550649643,False,7,5,13,13,169,96.0,0.038461538461538464,0.06770833333333333,13.0,10.5,7.500100135803223,1.438406847937898,0.4568542617889123,5.319247638815712
10,32,1.0,31,1,861.1503993652815,529.0,23,23,96,1,11,13,8,7,21,15,9,6,13,18,6.5,72.81118214130402,False,8,6,14,13,182,100.5,0.03571428571428571,0.06467661691542288,14.5,11.0,7.632268905639648,1.438406847937898,0.4294743265561138,5.314601433629666
11,33,1.0,31,1,861.1503993652815,529.0,23,23,96,130,11,13,8,7,21,15,9,6,13,18,6.5,75.63960921764374,False,8,6,14,13,182,101.0,0.03571428571428571,0.06435643564356436,14.5,11.0,7.632268905639648,1.438406847937898,0.44449320489421856,5.402200042231803
12,34,1.0,31,1,861.1503993652815,529.0,23,23,96,126,11,13,8,7,21,15,9,6,13,18,6.5,78.46803629398346,False,8,6,14,13,182,111.5,0.03571428571428571,0.05829596412556054,14.5,11.0,7.632268905639648,1.438406847937898,0.4531069492725958,5.436655019745311
13,35,1.0,31,1,861.1503993652815,529.0,23,23,96,26,11,13,8,7,21,15,9,6,13,18,6.5,80.46803629398346,False,8,6,14,13,182,115.0,0.03571428571428571,0.05652173913043478,14.5,11.0,7.632268905639648,1.438406847937898,0.4673603533168778,5.499558004827796
14,36,1.0,31,1,861.1503993652815,529.0,23,23,96,37,12,12,8,7,21,15,9,6,13,18,7.5,81.29646337032318,False,8,6,14,13,182,115.0,0.04120879120879121,0.06521739130434782,14.5,11.0,7.632268905639648,1.5450968080927583,0.475488750216347,5.532071592425672
15,37,1.0,31,1,861.1503993652815,529.0,23,23,96,233,12,12,8,7,21,15,9,6,13,18,7.5,83.29646337032318,False,8,6,14,13,182,121.0,0.04120879120879121,0.06198347107438017,14.5,11.0,7.632268905639648,1.5450968080927583,0.4775050541483179,5.6003454609263565
