,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,1,0.0015625,11,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,0.0,0.0
1,2,0.0015625,11,1,tensor(18.3105),9.0,3,3,16,500,-1,-1,1,1,2,2,1,1,2,2,0.0,2.8284270763397217,False,1,1,2,2,4,0.0,0.0,-1,1.5,1.5,0.7072067856788635,0.0,-1.9860273225978183e-16,0.9999999999999999
2,3,0.0015625,11,1,tensor(46.0459),25.0,5,5,24,125,-1,-1,2,2,4,3,2,2,3,3,0.0,4.828427076339722,False,2,2,3,2,6,0.5,0.0,0.0,3.0,2.5,1.1181340217590332,0.0,0.7924812503605783,2.4466166676282084
3,4,0.0015625,11,1,tensor(86.3475),49.0,7,7,32,558,-1,-1,3,3,5,4,3,3,3,5,0.0,7.656854152679443,False,3,3,3,3,9,2.0,0.0,0.0,3.75,4.0,1.250100016593933,0.0,1.0000000000000002,3.1949875002403854
4,5,0.0015625,11,1,tensor(86.3475),49.0,7,7,32,3834,4,3,3,3,5,4,3,3,3,5,1.0,7.656854152679443,False,3,3,3,3,9,2.5,0.1111111111111111,0.4,3.75,4.0,1.250100016593933,0.5641895835477563,1.1609640474436815,3.762570793183151
5,6,0.0015625,11,1,tensor(86.3475),49.0,7,7,32,9875,4,3,3,3,5,2,5,2,3,5,1.0,10.485281229019165,False,3,2,3,4,12,4.0,0.08333333333333333,0.25,4.0,3.5,1.8028756380081177,0.5641895835477563,0.7924812503605783,3.4466166676282084
6,7,0.0015625,11,1,tensor(86.3475),49.0,7,7,32,5177,4,3,2,5,5,2,5,2,3,5,1.0,12.485281229019165,False,2,2,4,4,16,5.0,0.0625,0.2,3.5,3.5,2.12142014503479,0.5641895835477563,0.6111962106682247,3.3531648955960356
7,8,0.0015625,11,1,tensor(139.2156),81.0,9,9,40,226,5,4,3,6,7,4,6,3,4,6,3.0,12.485281229019165,False,3,3,5,4,20,6.0,0.15,0.5,5.0,5.0,2.2361679077148438,0.9772050238058398,0.37369655941662105,3.160964047443681
8,9,0.0015625,11,1,tensor(139.2156),81.0,9,9,40,2035,5,4,3,3,7,4,3,3,4,6,3.0,15.313708305358887,False,3,3,5,4,20,9.0,0.15,0.3333333333333333,4.75,4.5,2.304986000061035,0.9772050238058398,0.42467405984931444,3.330889048885992
9,10,0.0015625,11,1,tensor(139.2156),81.0,9,9,40,213,5,4,3,3,7,4,3,3,4,6,3.5,15.899494767189026,False,3,3,5,4,20,9.5,0.175,0.3684210526315789,5.0,4.5,2.5000998973846436,1.055502061411188,0.47027498788282934,3.4828921423310417
10,11,0.0015625,11,1,tensor(139.2156),81.0,9,9,40,5776,5,4,3,2,7,4,3,2,4,6,3.5,17.899494767189026,False,3,2,5,5,25,11.5,0.14,0.30434782608695654,4.625,4.0,2.577040910720825,1.055502061411188,0.4963257356633053,3.751912868997875
