,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,1,0.025,11,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,0.0,0.0
1,2,0.025,11,1,tensor(18.3105),9.0,3,3,16,22,-1,-1,1,1,1,1,1,1,1,2,0.0,2.0,False,1,1,1,2,2,0.0,0.0,-1,1.0,1.5,0.5001000165939331,0.0,-1.9860273225978183e-16,0.9999999999999999
2,3,0.025,11,1,tensor(46.0459),25.0,5,5,24,244,2,2,2,2,3,3,2,2,2,3,0.5,3.414213538169861,True,2,2,2,2,4,0.5,0.125,1.0,2.5,2.5,0.7072067856788635,0.3989422804014327,0.7924812503605786,2.6416041678685938
3,4,0.025,11,1,tensor(46.0459),25.0,5,5,24,244,2,2,1,3,3,3,2,2,1,3,1.0,4.828427076339722,False,1,2,3,2,6,1.0,0.16666666666666666,1.0,2.0,3.0,1.000100016593933,0.5641895835477563,0.5000000000000006,2.52832083357372
4,5,0.025,11,1,tensor(86.3475),49.0,7,7,32,68,3,3,1,4,4,4,3,3,2,4,1.0,6.828427076339722,False,1,3,4,2,8,1.5,0.125,0.6666666666666666,2.5,4.0,1.500100016593933,0.5641895835477563,0.6609640474436812,3.095904126516483
5,6,0.025,11,1,tensor(86.3475),49.0,7,7,32,226,3,3,1,4,5,3,3,3,2,4,1.0,9.656854152679443,False,1,3,5,2,10,2.5,0.1,0.4,3.0,3.5,2.061652660369873,0.5641895835477563,0.7924812503605787,3.5539260325906623
6,7,0.025,11,1,tensor(86.3475),49.0,7,7,32,108,3,3,1,4,5,3,3,2,2,4,1.0,11.656854152679443,False,1,2,5,3,15,4.5,0.06666666666666667,0.2222222222222222,3.0,3.5,2.061652660369873,0.5641895835477563,0.6111962106682247,3.4604742605584895
7,8,0.025,11,1,tensor(86.3475),49.0,7,7,32,304,3,3,1,4,5,3,3,2,2,4,1.0,13.656854152679443,False,1,2,5,3,15,5.5,0.06666666666666667,0.18181818181818182,3.0,3.0,2.2361679077148438,0.5641895835477563,0.7075187496394223,3.7173343644816836
8,9,0.025,11,1,tensor(86.3475),49.0,7,7,32,293,3,3,1,4,5,3,3,1,2,4,1.0,15.656854152679443,False,1,1,5,4,20,7.5,0.05,0.13333333333333333,3.0,3.0,2.2361679077148438,0.5641895835477563,0.7924812503605785,4.0315791683493645
9,10,0.025,11,1,tensor(86.3475),49.0,7,7,32,143,3,3,1,4,5,5,3,1,5,5,1.0,18.485281229019165,False,1,1,5,5,25,10.0,0.04,0.1,3.2857143878936768,3.357142925262451,2.374495506286621,0.5641895835477563,0.8684827970831033,4.23424995960943
