,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,1,0.1,11,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,0.0,0.0
1,2,0.1,11,1,tensor(18.3105),9.0,3,3,16,3,-1,-1,1,1,2,0,2,0,1,1,0.0,2.8284270763397217,False,1,0,2,2,4,0.0,0.0,-1,1.5,0.5,0.7072067856788635,0.0,-1.9860273225978183e-16,0.9999999999999999
2,3,0.1,11,1,tensor(46.0459),25.0,5,5,24,20,-1,-1,2,2,3,1,3,1,2,3,0.0,4.828427076339722,False,2,1,2,3,6,0.5,0.0,0.0,2.5,2.0,1.1181340217590332,0.0,0.2924812503605784,1.9749375012019277
3,4,0.1,11,1,tensor(86.3475),49.0,7,7,32,69,-1,-1,3,3,4,1,4,1,3,4,0.0,6.828427076339722,False,3,1,2,4,8,1.0,0.0,0.0,3.5,2.5,1.581238865852356,0.0,0.5000000000000003,2.666666666666667
4,5,0.1,11,1,tensor(86.3475),49.0,7,7,32,43,4,1,3,3,5,1,4,1,3,4,0.5,8.242640614509583,False,3,1,3,4,12,2.0,0.041666666666666664,0.25,4.0,2.5,1.8028756380081177,0.3989422804014327,0.6609640474436812,3.095904126516483
5,6,0.1,11,1,tensor(139.2156),81.0,9,9,40,76,5,2,4,1,6,2,4,1,4,5,0.5,11.071067690849304,False,4,1,3,5,15,4.0,0.03333333333333333,0.125,4.25,3.0,2.0156643390655518,0.3989422804014327,0.37369655941662056,2.9534452978042585
6,7,0.1,11,1,tensor(139.2156),81.0,9,9,40,76,5,2,4,1,7,2,4,1,4,5,0.5,13.071067690849304,False,4,1,4,5,20,6.0,0.025,0.08333333333333333,5.0,3.0,2.2361679077148438,0.3989422804014327,0.46671772640093473,3.3073549220576046
7,8,0.1,11,1,tensor(139.2156),81.0,9,9,40,68,6,2,4,1,7,2,4,1,4,5,1.0,14.485281229019165,False,4,1,4,5,20,7.5,0.05,0.13333333333333333,5.5,3.0,2.5000998973846436,0.5641895835477563,0.524511249783653,3.4999999999999982
8,9,0.1,11,1,tensor(139.2156),81.0,9,9,40,120,5,2,4,1,7,2,4,1,4,5,1.5,15.899494767189026,False,4,1,4,5,20,9.0,0.075,0.16666666666666666,5.5,3.0,2.5000998973846436,0.690988298942671,0.4732167425663389,3.573602462471114
9,10,0.1,11,1,tensor(139.2156),81.0,9,9,40,5,5,2,4,1,7,2,4,1,4,5,1.5,17.899494767189026,False,4,1,4,5,20,10.5,0.075,0.14285714285714285,5.5,3.0,2.5000998973846436,0.690988298942671,0.47731392067196915,3.725605555916163
