,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,1,1.0,11,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,0.0,0.0
1,2,1.0,11,1,tensor(18.3105),9.0,3,3,16,0,-1,-1,0,2,1,1,1,1,0,2,0.0,2.8284270763397217,False,0,1,2,2,4,0.0,0.0,-1,0.5,1.5,0.7072067856788635,0.0,-1.9860273225978183e-16,0.9999999999999999
2,3,1.0,11,1,tensor(46.0459),25.0,5,5,24,0,-1,-1,1,3,2,2,2,2,2,4,0.0,5.656854152679443,False,1,2,2,3,6,1.0,0.0,0.0,2.0,3.0,1.000100016593933,0.0,0.2924812503605784,1.7799500009615423
3,4,1.0,11,1,tensor(46.0459),25.0,5,5,24,3,-1,-1,1,3,3,2,2,2,2,4,0.0,7.656854152679443,False,1,2,3,3,9,2.0,0.0,0.0,2.1666667461395264,2.8333332538604736,1.178611159324646,0.0,0.5000000000000006,2.52832083357372
4,5,1.0,11,1,tensor(86.3475),49.0,7,7,32,6,-1,-1,2,4,5,3,3,3,3,5,0.0,9.656854152679443,False,2,3,4,3,12,3.0,0.0,0.0,3.5,3.5,1.581238865852356,0.0,0.6609640474436813,2.957558293423535
5,6,1.0,11,1,tensor(139.2156),81.0,9,9,40,12,-1,-1,3,5,7,5,4,4,4,6,0.0,12.485281229019165,False,3,4,5,3,15,5.0,0.0,0.0,5.0,5.0,2.0000998973846436,0.0,0.21699250014423144,2.5849625007211556
6,7,1.0,11,1,tensor(139.2156),81.0,9,9,40,28,-1,-1,3,3,7,5,3,3,4,6,0.0,15.313708305358887,False,3,3,5,4,20,7.0,0.0,0.0,5.0,4.0,2.2361679077148438,0.0,0.2837102265451657,2.8073549220576024
7,8,1.0,11,1,tensor(204.6501),121.0,11,11,40,68,-1,-1,4,4,9,6,4,4,5,7,0.0,17.313708305358887,False,4,4,6,4,24,8.0,0.0,0.0,6.5,5.0,2.6926822662353516,0.0,0.3415037499278845,2.999999999999999
8,9,1.0,11,1,tensor(204.6501),121.0,11,11,40,48,-1,-1,4,4,9,6,4,4,6,8,0.0,20.14213538169861,False,4,4,6,5,30,10.5,0.0,0.0,6.375,5.3125,2.713636636734009,0.0,0.42467405984931444,3.330889048885992
9,10,1.0,11,1,tensor(204.6501),121.0,11,11,40,12,-1,-1,4,4,9,6,5,3,6,8,0.0,22.97056245803833,False,4,3,6,6,36,13.5,0.0,0.0,6.375,5.3125,2.713636636734009,0.0,0.4550746785383243,3.614409345247939
10,11,1.0,11,1,tensor(204.6501),121.0,11,11,40,47,-1,-1,4,4,9,6,5,3,6,8,0.0,25.79898953437805,False,4,3,6,6,36,16.0,0.0,0.0,6.375,5.3125,2.713636636734009,0.0,0.5185649777969498,3.8631090796660983
11,12,1.0,11,1,tensor(204.6501),121.0,11,11,40,8,-1,-1,3,3,9,6,3,3,6,8,0.0,28.627416610717773,False,3,3,7,6,42,18.0,0.0,0.0,5.9285712242126465,4.642857074737549,3.3580026626586914,0.0,0.543295940727611,4.084962500721155
12,13,1.0,11,1,tensor(204.6501),121.0,11,11,40,4,-1,-1,2,2,9,6,2,2,6,8,0.0,31.455843687057495,False,2,2,8,7,56,20.0,0.0,0.0,5.5,4.0,4.031229019165039,0.0,0.5779391059535918,4.200439718141092
13,14,1.0,11,1,tensor(204.6501),121.0,11,11,40,0,-1,-1,2,2,10,7,2,2,6,8,0.0,34.28427076339722,False,2,2,9,7,63,23.0,0.0,0.0,6.0,4.5,4.717090606689453,0.0,0.5041242982231883,4.231353375335077
14,14,1.0,11,1,tensor(204.6501),121.0,11,11,39,0,-1,-1,2,2,10,7,2,2,6,8,0.0,34.28427076339722,False,2,2,9,7,63,23.0,0.0,0.0,6.0,4.5,4.717090606689453,0.0,0.5041242982231883,4.231353375335077
15,15,1.0,11,1,tensor(204.6501),121.0,11,11,39,17,-1,-1,1,2,10,7,1,2,6,8,0.0,36.28427076339722,False,1,2,10,7,70,25.0,0.0,0.0,5.5,4.5,5.147915363311768,0.0,0.47027498788282934,4.27537339269162
