,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,2,1.0,7,1,18.310543469948435,9.0,3,3,16,1,-1,-1,0,2,1,1,1,1,0,2,0.0,2.8284270763397217,False,0,1,2,2,4,0.0,0.0,-1,0.5,1.5,0.7072067856788635,0.0,-1.9860273225978183e-16,0.9999999999999999
1,3,1.0,7,1,46.04586447053771,25.0,5,5,24,1,-1,-1,1,3,2,2,2,2,2,4,0.0,5.656854152679443,False,1,2,2,3,6,1.0,0.0,0.0,2.0,3.0,1.000100016593933,0.0,0.2924812503605784,1.7799500009615423
2,4,1.0,7,1,46.04586447053771,25.0,5,5,24,4,2,3,1,3,3,3,2,2,2,4,2.0,5.656854152679443,True,1,2,3,3,9,2.0,0.2222222222222222,1.0,2.0,3.0,1.000100016593933,0.7978845608028654,0.5000000000000006,2.52832083357372
3,5,1.0,7,1,86.34755172854614,49.0,7,7,24,6,3,4,2,4,5,5,3,3,3,5,2.0,8.485281229019165,False,2,3,4,3,12,3.0,0.16666666666666666,0.6666666666666666,3.5,4.5,1.581238865852356,0.7978845608028654,0.6609640474436813,2.957558293423535
4,6,1.0,7,1,86.34755172854614,49.0,7,7,24,1,3,4,1,5,5,5,3,3,1,5,2.0,11.313708305358887,False,1,3,5,3,15,4.0,0.13333333333333333,0.5,3.0,5.0,2.0000998973846436,0.7978845608028654,0.7924812503605783,3.4466166676282084
5,7,1.0,7,1,86.34755172854614,49.0,7,7,24,2,3,4,1,5,5,5,3,3,4,6,4.0,11.313708305358887,False,1,3,5,4,20,6.0,0.2,0.6666666666666666,3.0,5.0,2.0000998973846436,1.1283791670955126,0.9036774610288034,3.850449261039262
